Data,Sentiment
শামীম ভাই সসতা নাটকে আর কত,0
অামরা এই নাটক নিেয়ই  গরবিত,1
ধনযবাদ সুনদর একটা নাটক বানানোর জনয,1
কউ তোরা পরিচালকরে বাঁশ দে,0
পরসংশার দাবিদার বাংলা নাটকের সেরা জুটি,1
অনেক ভালো লেগেছেকিছু সমৃতি মনে পরছে,1
ওরে বাবা এসব কি দেখছি বাংলাদেশের নাটকে এসব চলতেছে এখন,0
বাসতব জীবন চিতর সমপূরণ একটি নাটক খুব ভালো লাগলো,1
সতযিই অসাধারণ গলপ পরথম এক আর শেষ আর এক,1
আমার মতে এটা নাটকের ভিতরে পড়ে নাপুরাই বাটপার নাটক,0
শেষের দিকটা ভালো কোরতে পারেনি,0
পোলা দুনোটার কী বিচি ছিলো না হেটা মারকা নাটক,0
অসাধারন একটি নাটক  অবশযই ভালো লেগেছে ,1
দুনিয়ার সব থেকে ফালতু নাটক এইটা,0
ফিদা হয়ে গেলাম ভাই এত চমৎকার একটা নাটক  ,1
ফালতু সময় পার করলামফালতু নাটক এক টা,0
নাটকে  দেখে কোন মজা পাই নাই ,0
এতো বাসতবসমমত নাটক এর আগে কখনো দেখিন,1
নামাযের দাওয়াতটা খুব ভালো ছিলো অনেক ধনযবাদ,1
আসলেই ডরামা করার জনয কি গলপের এতোই অভাব,0
ভাই সবকিছুর পরেও বললেন যে নামাজ পড়তে হবে কথাটা অনেক ভাল লাগছে,1
ঈদের মত আননদময় হোক পরতিটি দিনঈদ মুবারক ভালবাসা অবিরাম,1
মিজান ভাই দারুন অভিনয় করছে আজকাল৷,1
সুনদর একটা নাটক মন ছুয়ে গেল,1
বস চালিয়ে যাও  অনেক সুনদর লাগছে তোমাকে,1
অসমভব সুনদর একটা নাটক,1
শুধু ভাল খইনি অসমভব ভাল খয়ছে,0
অসাধারন অনেক ভালো লাগলো,1
নাটকের কালার এতো কাইশযা কযা,0
সব থেকে ভালো লাগছে নামায এর বিষয় টা,1
এইসব ফালতু নাটক দিয়ে নিশো ভাইয়ের হোগা মারতেছে,0
একটা নাটক বানিয়েছে না আছে কাহিনী না আছে অভিনয় না আছে বাসতবতা,0
নাটকের গলপ ভালো না আজাইরা,0
মেরিল পরথম আলো  এর সেরা নাটক হবে এটি আশা রাখি,1
কযামেরাটা এত  ঘুরাস কিললিগা,0
শালার নাটকের পরিচালক এমন খারাপ নাটক বানানো থেকে বিরত থাক ,0
নাটকের মধযে অশলীলতা চাই না,0
কি বলবো বলার ভাষা খুজে পাচছি নাএক কথাই অসাধারণ,1
আরিয়ানের নাটক গুলো সবসময় সেরা,1
শামিম ভাইরের দূর টা ভালো লাগে,1
নাটক দেখি নাকি পরন দেখি বুজতেছি না,0
এই অসভয সংসকৃতির শেষ  কোথায়,0
তিশার চাপা চাপা পোশাক আমার ভালো লাগে না,0
নাটকটা বিজঞাপন দিয়াই চুদদা দিছে,0
আফরান নিশো বরতমানে সবার চেয়ে বেষট,1
আমার পরিয় নায়ক বলে কথা আমি অনেক লাইক করি রিয়াজ ভাইয়া কে ,1
ফালতু নাটকের সরবোৎকৃষট উদাহরণফালতু,0
যত দেখি ততই ভালো লাগে,1
অনেক ভালো লাগলো নাটক টা,1
ঢং টা একটু বেশি বেশি হয়ে যায় কি বাল অভিনয় করে,0
ইচছা করে করতে পারে ছেলেটা আসলেই খারাপ,0
নাটকটি সেইরকম লাগলোমজার একটা দৃশযও দেখেছি,0
অসাধরণ নাটক খুব ভালো লাগলো,1
শেষে ডিসলাইক না দিয়ে পারলাম নাহ,0
তিসা এতো রাতে অপোরব বশ এর সাথে গুরতেছে কেন,0
আমার দেখা পৃথিবীর সবচাইতে বাজে একটা নাটক,0
সালার এক নমবর হিজরা কাহিনী,0
অপরতিদবনদি এক নায়কের গলপের নাম রিয়াজসুনদর হতেই হবে,1
নাটকের আগা মাতা পাইলাম না কে কেমন বুজলা আমি কিছুই না,0
তামিমের অভিনয় অারো ভাল করতে হবে,1
কিছু বলার ভাষা নাই ভালো থাকুক ভালোবাসার মানুষ,1
একেবারে চমৎকার তরতাজা একটা নাটক,1
নাটকটাতে পোশাকে সমসযা আছে,0
অসাধারণ লেগেছে নাটকের থিমটা,1
ফালতু নাটক  এই লোকটা টাকার জনয নাটকের মানের দিকে আর তাকায় না,0
ভাই এগুলো তো সিনেমার থেকেও খারাপ,0
খুব খুব ভালো লাগলো  পঃ বঙগ  ,1
দারুণ একটা কাহিনীচোখে জল এসে যায়,1
নাটকটা  আনেক সুনদর  অমার আনেক ভালো  লাগেছো,1
ইনকাদের কাছ থেকে আশা করিনি এ ধরনের নোংরামো,0
সিনেমার যেই অবসথা হইসে এখন নাটকেরো ওইটাই হচছে,0
আমি  থেকে  আমার কোন ভাষা নেই খুব সুনদর গলপ  ,1
নাটকটা ভাল লাগলো অনেক ইমোশনাল,1
সেরা একটা নাটক দেখলামঅনেক ভাল লাগল,1
বাজে অশলীল একটা নাটকছি ছি ছি,0
ভাই নাটোকের সেসেসময় আরো বেসি খারাপ লাগলো,0
বাংলাভিশনে দেখেছিলাম অনেক ভালো লেগেছিল,1
সবনম ফারিয়া অনেক মোটা হয়ে গেছে,0
অনয রকম একটা নাটক খুবই ভালো লাগলো,1
যা ভেবে ছিলাম তার থেকে অনেক ভালো লেগেছে,1
কুকুরের নাম ফাহিম এইটা খুব খারাপ হলো,0
নাটক আর নাটক নাই হয়ে আশলিলে ভরা,0
নাটকের মধযে সুনদর একটা দৃশয দেকলাম নামাজ,1
 সালের সেরা নাটক  কালকে দেখছি নাটকটা খুব ভালো লাগছে,1
সব নাটক একি রকম মজা পাইলামনা,1
ফালতো একটা নাটকসব পাগলের দল,0
শালীনতার সীমা লঙঘন করা উচিত নয়,0
এইসব নাটক দেখে জুব   সমাজ নষট  হচছে,0
নামাজ পড়া টা খুব ভালো লাগছে নিশো,1
অনলাইক দেন সবাই এই নাটকে ফালতু একটা নাটক,0
অতিরিকত ঢং ইরফান  সাজজাইতার,0
ছিঃ কিছু কথাবারতা এতো অশলীল,0
আসল কথা এখন নিশু ভাইয়ের নাটক বেশি দেখি তাই এমন লাগে,0
সেইরকম বসতাপচা হইছে নাটক টা,0
ওনেক সুনধর হয়ছে মনটা বরে গেলো,1
খুব সুনদর নাটকটা সেসের দিকে চোখের পানি এসে গেল,1
অসাধারণ এরকম নাটক তৈরি করার জনয ধনযবাদ,1
নাটকটা ভালো কিনতু শেষ অংশটা দেখে কাননা চলে আসলো,1
আমার দেখা মোশারফ করিমের সবচেয়ে ফালতু নাটক,0
মসারোফ করিম মানে বেয়াধপ,0
গুছানো একটা নাটক ছিলো সব মিলিয়ে অসাধারণ,1
হালারপু বাজে একটা নাটক হালর পু হালা,0
অসতির নাটক এতো  ভালো কেন,1
আমার পরিয় একজন মানুষের খুব পরিয় একটা নাটক এটা,1
কুততার বাচচা তুই  আমার  ফন দরস না কেন,0
বালের নাটক ভাই রে বাসতবতার সাথে কিছু অনতত মিল রাখ,0
নাটকটা সতযি অসাধারণ ছিলোচোখে পানি এসে পড়লো,1
মোশাররফ করীমের এই ধরনের সসতা কাহিনি এভয়েড করা উচিত,0
অসাধারণ এ নাটকটাতাতে অনেক শিকষা নেওয়া আছে,1
সতযিই নাটক টা খুব ভালো,1
জীবনের দেখা সবথেকে ফাউল একটা নাটক,0
আমার জীবনের দেখা সবচেয়ে  নাটক ,1
অসাধারণ নাটকখুব ভাল লাগলো দেখে নাটকটা,1
কি সব ফালতু নাটক অনেক দিন থেকে ভাল নাটক দেখি না,0
কুততার বাচচা হারামজাদা এই বলে কি মারটাইনা মারলো,0
বস মানেই অনয কিছু বস মানেই অসাধারণ,1
অশলীল কথা গুলো বাংলাদেশের নাটক নৈতিক হারিয়ে যাচছে,0
বালের নাটক বানায়মোশারইফফযা তুই অভিনয় বাদ দে,0
নিশো ভাই তুমি আসলেই অসাধারণ,1
বৃনদাবন দাস সতযিই সুনদর গলপ লেখেন ধনযবাদ,1
সেকেনডে বাবার   নাভিটা জোস ছিল,0
এই ঈদের ফালতু নাটকসময়টা নসট করলাম,0
ধুমপানের ছিনটা না থাকলেও চলতো,0
খুব ভালো লাগলোতবে কিছুটা আমার সাথে মিলে যাবে মনে হয়,1
নামাজের পরতি সমমান দেখানোটা খুব ভাল লাগলো,1
খুব সুনদর হয়েছে নাটক টা    তুমি সবার সেরা অভিনয় করো,1
এসব অশলীলতার কারণেই সমাজে ধরষণ বাড়ছে,0
নিশোকে এই নাটকটা তে মাশাললাহ অনেক সুনদর লেগেছে,1
বেটারা অার গলপ খখুঁজে পায় না ছাগলের দল,0
কমেনটগুলো পড়ে নাটক দেখার ইচছাটাই মরে গেল,0
অসমভব ভালো নাটক ধনযবাদ অপূরব ভাই,1
ইদানিং মোসারফ করিমের নাটক আগের মত মজা লাগেনা,0
ভুয়া খোর নাটক বালের নটক,0
বাজে নাটক  বালের কাহিনি দিয়া নাটক বানাও,0
কখন যে কেঁদে ফেলেছি বুঝতে পারিনি এক কথায় অসাধারন,1
আফরান নিশো মানি অসাধারণ তার নাটক টি দেখবেন সবাই ,1
ও ভাই কমেনট পড়ে লাভ নাইনাটক ভালো ছিল,1
অসাধারন নাটক ওনলি মিধনযবাদ কাজল আরেফিন ওমি সযার,1
ওর মতো বাবা কে জুতা দিয়া পিটান দরকার,0
 আজ তাকে কেন আগের মতো ভালো লাগে না,1
অসথির হইছে পলাশ ভাই হাসতে হাসতে মইরা গেলাম,0
দুনিয়ার ফালতু নাটক বিরকতিকর ভোদাই মারকা পরিচালক,0
সেই ছিল ভাই নিশো ভাই মানে অসাধারণ কিছু,1
আমি তো পুরাই চোদনা হয়ে গেলাম,0
ভালোবাসা শুধুই ভালোবাসা,1
সতযিই খুব অসাধারণ এই নাটকটার কোন তুলনাই হয়না,1
খুব সুনদর হল তা ছাড়া রিয়াজ আমার পরিয় এককটার,1
বালের নাটকআগা মাথা কিছু নাই,0
সাবিলা নুর ওভার অযাকটিং করে বাজে অভিনয়,0
মাগিদের পোশাক এত খারাপ কেন ,0
শেষ মেস একটা কুততার নামও ফাহিম  আর কোন নাম কি দেশে ছিলও না,0
লজজা করে এইসব অভিনয় কি নাটক এগুলা ফালতু,0
অসাধারণ একটি নাটকখুব ভালো লাগলো,1
সায়েনস এর ছেলেমেয়ে মানেই এভাবে রসকষহীন না,0
কেমনে নিশো ভাই কেমনে পারেন এত ভালো অভিনয় করতে,1
অনেক সুনদর হয়েছে নাটকটি ধনযবাদ,1
বলাইঞচোদ খানকির ছেলে এতো অযাড চুদাও কে,0
ফালতু একটা নাটক হুরর সময়টাই নষট,0
এতো ভালো লাগেছে বলে বোজাতে পারবো না,1
বযাচ  অসাধারণ টা কাজ হয়েছে,1
আমার দেখা এই ঈদে সব থেকে বাজে থারড কলাস নাটক এটা,0
যারা আনলাইক করছে সবকটা পরতিবনধী,0
সব ই পাগলপাগলের দলপরিচালক পরযোযগ সব পাগল,0
অপুরব ভাই এর নাটক সবসময় ই ভালো লাগে,1
নাটকে এতো অশলিল ভংগিমা,0
শাউয়ার নাটক মেজাজ মারাপ হই গেছে,0
খুব ভালো লাকছে বস এ রকম আরো নাটোক দেখতে চাই,1
জাতি ধবংসের জনয এমন নাটক খুব পরয়োজন,0
বোকার দলেরামেজাজটাই খারাপ কইরা দিলফালতু,0
এক কথায় ওয়াওকযামেরার কাজ দেখে মুগধ হয়ে গেলাম,1
অসমভব ভালো লাগলো নাটকটি তিশার  ছেলেমানুষি অসাধারণ,1
হাসিকাননা সব মিলিয়ে অসাধারণ হয়েছে,1
নিশো ভাইরচোখ বুজে হাসিটা ধারুন ছিল,1
নাইচ বিন দাবন দাসভাল নাটকজেদদা  থেকে আমিন,1
সতযিই খুব সুনদর হয়ছে,1
শালীরা এত তারাতরি বলাউজ চেনজ করস কি ভাবে বালের নাটক,0
ভাই নাটক টা আমার কাছে অনেক ভালো লাগছে ধনযবাদ পরিচালককে,1
 আরিয়ান ভাইয়া নাটকের পরিপরনতা খুজে পেলাম,1
গানজার বেরা নাটক চাই মোশারফ করিম এর,0
এক নাটকেই সোনা আর দুদু দুই কযারেকটর একদম জমে কষির,0
দারুণ নাটক টা দেকে মজা পেলাম এবং কষট সব মিলে একাকার,1
অনেক সুনদর একটা নাটক খুব ভালো লাগলো,1
আপনি একজন করযাজি লাভার  পরেম করতে করতে ওর ভিতরে ঢুকে গেছেন,1
ভাইয়া নাটক টা ঈদ ইসপেশার হলে ভাল হতো,1
আরস বলে কখোনো তুচছ ভাবা উচিত নয়,0
সনিয়া মালটার রিয়েল নাম কি,0
দারুন নাটক খুব ভালো লাগলো,1
একি রকম নাটক বার বার ভাল লাগেনা,0
আমার খুব ভালো লেগেছে  আপনারাও দেখুন ভালো লাগবে,1
বালের কনসেপট খাচছি খোর এইটা কোন নাটক হইলো,0
একদম সমসাময়িক গলপ দারুন লাগছে,1
অসমভব সুনদর একটা নাটক শেষের দুটো লাইন অসাধারণ,1
নামাজের জনয অনেক অনেক অনেক ভালো লাখছে নাটোকটা,1
আবাল পরিচালক  শামীম দুজনই,0
আফরান নিশোর ফযানরা কই শুধু লাইক হবে,1
অশলীলতা টা একটু বেশি হয়ে গেল,0
অসাধারণ একটি নাটক কে কে আমার সাথে সহমত হাত তুলেন,1
শামিম ভাইয়ের জবাব নেই কিনতু গলপটা ভালো লাগেনি,0
তানজিন তিশাকে দেখলেই মেজাজ টা খারাপ হয়ে যায়,0
আমার কাছে নাটক টা অনেক ভাল লাগছে,1
কোথায় যে কমতি ছিলোপরিপূরণ নাটক হয় নি,0
ফিনিশিং সুনদর হয়নি আরো নাটকিয় হওয়ার দরকার ছিলো,0
নিসুমানে সেরাবাংলাবাংলার সেরা নাটক,1
অনেকদিন পর খুব ভাল একটি নাটক দেখলাম,1
অনেক সুনদর অনেক সুনদর অনেক সুনদর অনেক সুনদর অনেক সুনদর,1
কম দামি বাসি গাজা খেয়ে গলপ লিখলে যা হয়,0
শিহাব শাহীন মানেই নতুন কিছু পাওয়ার আশা ,1
জন দিয়ে পুরো নাটক শেষসটোরির কোন আগা মাথা নাইফালতু,0
নামাজ পড়ার বেপারটা খুব ভালো লাগছেধনযবাদ,1
এটা কি নাটক নাকি  সয়তানি বালের নাটক কোনো আগা মাথা নাই,0
ফালতু বালের নাটক এই রকম পচা নাটক কেউ করে না কি,0
টা ভালো হয়নিসেই এক ঘেয়েমি,0
নাটকটা অনেক ভাল লাগছেরিয়াজ ভাইয়ের নতুন মুভি ছাই,1
অসাধারণ বনধুত অনেক ভাল হয়ছে নাটকটি,1
কি বালের  কাচচি রাননা করে আলু দেই নাই একবারো বোকাচোদারা,0
তিশা খাণগীর জনয নাটকে মন বসেনা,0
মন জুড়ানো খুব সুনদর নাটক,1
সমাজটাকে শেষ করে দিল এই সব নাটক,0
ইডিটের মায়েরে বাপ কইরা দিছে,0
কাহিনী ছাড়া নাটক কিছুই হইলোনা,0
নাটকটি তেমন ভালো লাগেনি কারন যামিন নাই তাই,0
এটা বাজে নাটক অশলীল ভাষা অনেক বেশি,0
অসটরেলিয়ার গরুর মত লাগছে ফারিয়াকে,0
এই নাটকটা আমার কাছে অনেক ভালো লাগছে,1
অনেক ভালো লাগলো নিসো ভাই ভালোবাসি অনেক,1
শিহাব শাহীন মানেই অসাধারন টুইসটসযালুট বস,1
ইরিন কে অনেক সুনদর লাগতেছে বউ সাজে,1
কলা বাবার অভিনয় ভালো হয় নাই,0
বালের নাটক বালের কাহিনী এগুলো বাসতবতার সাথে কোন মিল নেই,0
কমেনট  লাইক দেখেই বুজতে পারছি নাটক টা ভালো হবে,1
বালের নাটকযততসব ভাড়ামি,0
ভাই আমার পুরা রিয়েলসটিক অভিনয় করেনিশো,1
মাথা খারাপ হয়েছে দুজনের কি সব ভাষা,0
সবচেয়ে বেশি ভাল লাগছে দুই বনধুর নিঃসাথর সমপকর,1
নাটক টা অনেক ভাল লাগছে  বই পড়ে বলতেছে   পড়ে,1
বস তুমি সতযি বাংলাদেশের সেরা অভিনেতা,1
এমন নাটক জীবনে দেকিনাই অনেক সুনদর ,1
অসাধারণ একটা নাটক বলার ভাষা নেই সতযি অসাধারণ হয়েছে,1
অসাধারণ খুব ভালো লাগলো,1
নামাজের কথাটা ভালো লাগসে খুব,1
শাউয়ার নাটক বাল দেখে সময় নষট করলামএর থেকে  দেখা,0
লাভ ইউ বস আনেক ভালো হয়েছে,1
গরাম বাংলার অসাধারণএকটি নাটক,1
ওই ছাতরীর নযাকামি একেবারে অসহয,0
সুড়সুড়ি মারকা ফালতু নাটক,0
ফালতুমিরও একটা সীমা থাকা উচিত  যা তা,0
শালী আমার খাই খাই ভাবছে আমার কাছে টাকা নাই মজা পাইছিরে পাগলা,0
অনেক অসাধারণ অনেক অনেক ভালো লাগছে অনেক,1
অসাধারন একটা নাটক এই দরনের নাটক আরো চাই,1
কি নাটক বানাইল মাথার উপর দিয়া গেলো  ভাল হয় নাই,0
অনেক ভালো লেগেছে অসাধারণ গলপ,1
মনটা ভাল হইয়ে গেছে নাটক টা দেখে,1
শেষের দিকে মুখের দাড়ি গুলা থাকলে ভালো লাগতো,1
বালের নাটক সময়ডাই নষট করলাম,0
ফালতু নাটক কাহিনী অভিনয়,0
জাসট ফরেনডের অভিনয় পুরাই ফালতু হইছে,0
এ কি নাটক সাওন ভাই আসা করিনি এমন নাটক,0
নামাজ পড়ার অভযাস আছেনামাজ পড়তে হবে  বেসট কথাটা,1
নিশো ভাই এবং পলাশ ভাই দুজনেই  অসাধারণ,1
ফালতু নায়িকা নাদিয়া বেষট,0
তখন নিজেই বলবে ছিঃ এরকম এমকটা অপদারথের,0
ফালতু একটা সকরিপট সময়ের অপবযয়,0
লাসট এ দিয়া আর ভালো লাগলো না,0
কেঁদে ফেলেছি সতযিই অসাধারণ,1
আবালচোদা নাটকের আবালচোদা গলপ আচোদা অভিনয়,0
আমার দেখা সবচেয়ে বাজে নাটক এটা,0
ফালতু নাটক মো করিম বাংলাদেশের নাটকের জগৎকে ধবংস করে দিসে,0
খুসি আপু অসাধারন অভিনেতরী,1
আরিয়ান ভাইয়ের পরিচালিত সেরা নাটক অসাধারণ,1
এটা নাটক না যেন পুরুষ নিরযাতন,0
তেমন একটা ভালো লাগলোনা,0
খাংকির পোলারা কি পাইছত,0
এখানে বিড়ি সিগারেট ফযাশন হিসেবে বযবহার করা হয়েছে অনেক খারাপ,0
চিনতা করতে পারেন  এইডা কোন নাটক  চি মোশারফ,0
এটা  সের সেরা নাটক হবে ইনশাআললাহ,1
আননদ পেলাম এই নাটকটা দেখে,1
এ রকম বাজে গলপ আর সসতা গলপে নাটক বিরকতকর,0
অশলীলতায় ফেমাস হওয়া যায় না,0
দুনিয়াটা কি উলটো হয়ে গেলো নাকি,0
বালের নাটক  সেইরকম বালখোর ফালতু,0
অসমভব সুনদর এই গলপটা,1
বৃনদাবন দাসের নাটক অনেক শিকষনীয় বিষয়,1
এটা ফানি নাটক না এটা নোংরামির কাছাকাছি কিছু একটা,0
দরশকদের উচিৎ এই ধরনের নাটক পরিহার করা,0
লাভ ইউ নিশো ভাইনাটক টা  সালের সেরা নাটক,1
নাটকগুলা এত কেমনে সেরা হয় রে,1
কাবিলা অসাধারন অভিনয় করছে,1
এই ঈদে দেখা সবচেয়ে ফালতু ভাঁড়ামো নাটক,0
বাংলা নাটকে কি এসব অশলীলতা   ছিঃ,0
শামিম ভাই এইসব ফালতু নাটকে কেন অবিনয় করলেন,0
এটাই সতযি ভালবাসা শুরু আছে শেষ নেই,1
নাটকের পরিচালক নাটকটা লিখছে মনে হয় গানজা সেবন করার সময়,0
বিরকত লাগছে নাটকটা দেখে,0
নাটকের আগা মাথা কিছুইবুঝি নাই,0
শুধু মাতর হানিমুন করার জনয ডিবোরসের কাহিনিযতসব ফালতু,0
চরম একটা  দেখার মতো নাটক  শামিম ভাই সেরা,1
নামাযের বযপারটা খুব ভাললাগছে,1
থারড কলাস নাটক  কোন কলাস মেনটেইন করা হয় নি,0
অপূরবর মতোই সুনদর অপূরবর নাটক গুলো অসাধারন,1
মুখসত মিথযা কথা বলতেও পারে বেটা,0
নাটক টার নাম জীবন ভরমন হলে বেশি মানানসই  হতো,1
অসাধারণ পরেমের গলপ খুব ভালো লাগলো,1
ফালতু নাটক  দূর  মিনিট সময় নষট,0
অনেক দিন পর  সুনদর একতা নাটক দেখলাম,1
এক দম বাজে নাটক বাংলা নাটকে এরকম  কথা আশা করি না,0
কিছু বলার নেইএক কথায় অসাধারণ,1
নাটক যেমন সুনদর নাটকের গান গুলো তেমনি সুনদর,1
দিন দিন পোশাকের অবনতি হইতেছে,0
কী অদভুত নাম সোনা মিয়া দুদু মিয়া হা হা হা,0
এতো দিন পর সুনদর একটা নাটক দেখলাম  অসাধারন,1
অপুরবর গান তো খুব সুনদর,1
নাটকটা দেখে অনেক ভালো লাগলো,1
অসাধারণ এক বাংলা নাটক ভাল লাগল,1
কষনিকের  আননদ দেওয়ার জনয,1
অপূব মানে সুদর গলপ আর ভালো অবিনয়,1
হোগা মারকা নাটক বানাইছে,0
আরে ভাই গাজা খাইয়া নাটক বানান সুনদর  হবে,0
নিশো   সব চরিতরে পারফেকট,1
আমার কাছে অরপবর নাটক অনেক ভালো লাগে,1
ফালতু মেয়ে গুলো খেয়ে দেয়ে কোন কাজ নাই,0
জোর করে হাসানোর চেষটা কি ফালতু নাটক,0
মুসারফ করিম পাগলের বড়োডা,0
ভাই আমি আপনার অনেক বকত আপনার নাটক গুলা আমার অনেক ভালোলাগে,1
ফালতু নাটক দেখে সময় লস করার মানে নাই,0
তোমার নাটক খুব খুব ভাল লগে গো,1
পুরান চিনে তারা মানে কে মাইনে আজব মানুষ এরা ফালতু,0
সতযি অসাধারণ নাটক যার কোন তুলনা হয় না অতুলনীয় ,1
অনেক টা ভালো লাগছে আই লাভ নাটক,1
ওয়াও অনেক সুনদর একটা নাটক,1
হালার দেখে পুরাই মাথাই নসট,0
আমার দেখা   নাটকঅনেক অনেক ভাল লাগল,1
নাটকের অভিনয়টা খুব ভাল ছিল  থযাংকস অল,1
এইটা একটা নাটক হলো  অযথা সময় নষট করা  ফালতু একটা নাটক,0
এটাও একটা নাটকধুরসময়টাই নষট,0
নাইস খুবই ভালো লাগলো,1
নাটক টা এতো ভালো জে বার বার দেখতে মন চায়৷,1
কি বলব ভাষা হারিয়ে ফেলেছি এক দম অসাধারন একটা নাটক   ,1
মোশারফ করিমের অভিনীত  এতো ফালতু নাটক দেখি নাই,0
আনেক ভালো একটা নাটক দেখলাম,1
এই ধনের একগুয়েমি নাটক ভাল লাগে না,0
শেষ টা অসাধারণ হয়েছে  বেসট নাটক ঈদ ,1
পাললতু নাটক সারারাত   মিনিট  নষট করলাম,0
এখানেও তো দেখছি বিজঞাপনের পযারা,0
সতযিই  ভালো একটা  নাটক,1
নাটক দেখার আগেই লাইক দিছি যানি ভালো হবেই,1
বাংলা নাটকের এত অধঃপতন এত বাঝে ডায়লগ,0
বালের নাটকএমন উদভট নাটক করে কোন পরিচালক,0
বাংলাদেশের নাটকের যে কত অধঃপতন হয়েছে ইননালিললাহ,0
মোশারফ করিমের কাছ থেকে এসব নাটক আশা করি না,0
বালের কযামরামযান খালি ঘোরায়,0
নাটক টিবিতে পরচারের সময় এ ধরনের   দেওয়া দরকার,0
বাজারের সসতা মেয়ে দিয়ে নাটক বানাইলে যা হয় অার কি,0
এই কুওার নাটক এখন মানুষ দেখেনা,0
বাজে একটা নাটক শুধু শুধু সময় নষট,0
এসব নাটক এখন দেখতে ইচছা করেনা,0
অসাধারণ নিষপাপ পরেমের গলপ,1
থারক কলাসের লিমিট করস করছে মোসাররফ কংগরাচুলেসন,0
এইবার ঈদে দেখে সবচেয়ে বাজে নাটক,0
এর চে বাজে নাটক আর হয়নাএটা কোন নাটকের মধযেই পরেনা,0
এই মসারফ করিম খানকির পুলা এ খোন ফালতু নাটক করে,0
অনেক ভালো লাগে তানজিন তিশা কে,1
ফালতু  যা মন চায় তাই করে ফেলে  নষট করতেছে ইনডাসটরি টা ,0
আর সবার পরথম দিয়া তো পুরই খাফের খাফ কলেজ করাশ  আমরা চাই,0
খুব ভালো লাগছে শেষে অনেকটা ইমোশনাল হয়ে গেছি,1
ভাড়ামী দিয়ে তো নাটক হয় না,0
এককথায় অসাধারণ ফালতু হয়েছে যা বলার ভাষা নেই,0
ছাতরী মেয়েটার নযাকামিটা খুবেই বাজে হইছে,0
খারাপ লাগলেও ইভানা কারণে দেখি,0
কাবিলার কথার সটাইল দারুন ছিলো,1
অনেক খুশি হলাম নিশো বসের নাটক পেয়ে,1
পালতু নাটক করা বনধকরুন পলিজ,0
অনেক অনেক সুনদর হয়ছেধনযবাদ মিজানুর রহমান আরিয়ান,1
ভালো গলপ কিছু বাজে সংলাপের কারণে নষট করবেন না,0
সেরা সেরা সেরা  এর সেরা  বেসট  বেসট নাটক এটাই খুব ভালো লেগেছে   ,1
ভালো লাগছে কারন শেষ টা ভালো ছিলো,1
যেমন আশা কইরা দেখলাম তার চেয়ে দিগুন বাজে নাটক,0
